embed_dim,num_heads,ff_dim,num_layers,dropout,lr,weight_decay,batch_size,val_f1_macro,val_acc,best_epoch
512,4,2048,4,0.1,0.0003,0.01,32,0.3182746836926404,0.34444444444444444,20
256,4,2048,4,0.3,0.0003,0.01,32,0.3181935181935182,0.3333333333333333,16
256,4,2048,4,0.3,0.0001,0.001,32,0.31816272531854584,0.34444444444444444,13
512,8,1024,4,0.1,0.0003,0.01,64,0.3181586370106451,0.3333333333333333,9
256,8,1024,4,0.3,0.0001,0.001,64,0.3181471306471307,0.36666666666666664,20
256,8,1024,2,0.3,0.0003,0.001,64,0.3173540995345507,0.3333333333333333,26
512,8,2048,4,0.3,0.0003,0.01,64,0.31721095626411244,0.32222222222222224,18
256,4,1024,2,0.1,0.0001,0.01,64,0.31700484791617795,0.37777777777777777,11
256,4,1024,4,0.3,0.0003,0.001,32,0.31680090096239166,0.3333333333333333,15
512,8,1024,4,0.3,0.0003,0.01,32,0.3167483660130719,0.34444444444444444,16
256,8,1024,2,0.1,0.0003,0.001,64,0.31672633954581225,0.3333333333333333,20
512,8,2048,2,0.1,0.0001,0.01,64,0.316708053850911,0.35555555555555557,8
512,8,2048,4,0.3,0.0003,0.01,32,0.3159204194498312,0.35555555555555557,24
256,4,2048,4,0.3,0.0001,0.01,64,0.315744780670889,0.34444444444444444,26
512,8,2048,4,0.3,0.0003,0.001,32,0.31569178176321033,0.35555555555555557,28
512,8,2048,2,0.3,0.0001,0.01,64,0.31496689520736704,0.34444444444444444,17
256,4,1024,2,0.3,0.001,0.01,64,0.31477192279436317,0.3111111111111111,28
512,4,2048,4,0.3,0.0001,0.01,32,0.31457145999795727,0.3111111111111111,12
512,8,2048,2,0.3,0.0003,0.01,64,0.3141852385362885,0.35555555555555557,13
512,4,2048,4,0.1,0.0001,0.001,32,0.3131522558296013,0.32222222222222224,8
256,8,2048,4,0.1,0.0001,0.001,64,0.3130975258067181,0.3888888888888889,8
256,8,1024,2,0.3,0.0003,0.01,32,0.3130748955125246,0.36666666666666664,9
512,4,1024,2,0.3,0.0003,0.001,64,0.3128720231140287,0.32222222222222224,10
512,4,2048,2,0.1,0.0001,0.001,64,0.3125167324655816,0.3333333333333333,13
512,4,2048,4,0.3,0.0003,0.001,32,0.31238770085069895,0.32222222222222224,23
512,4,1024,4,0.1,0.0001,0.01,64,0.3123074544503116,0.3333333333333333,12
512,4,2048,2,0.1,0.0003,0.01,32,0.3120922018774979,0.34444444444444444,10
256,4,2048,4,0.1,0.0003,0.001,32,0.31185554325089215,0.34444444444444444,15
256,4,1024,2,0.1,0.0001,0.001,64,0.31111319217513306,0.36666666666666664,11
256,4,1024,4,0.1,0.0001,0.001,32,0.3108239908239908,0.34444444444444444,14
256,8,2048,2,0.1,0.001,0.01,64,0.310792285699118,0.32222222222222224,18
256,4,2048,4,0.1,0.0003,0.001,64,0.30993861381564514,0.3,16
512,8,1024,4,0.1,0.0003,0.001,32,0.3096527499888844,0.3,26
512,4,1024,4,0.1,0.0003,0.01,64,0.30964432313757656,0.36666666666666664,11
256,4,1024,2,0.3,0.0001,0.001,64,0.3096094765449604,0.36666666666666664,21
256,8,2048,4,0.1,0.0003,0.001,64,0.3093859068444024,0.3888888888888889,5
256,4,2048,2,0.1,0.001,0.001,64,0.30937391679079657,0.3,24
256,8,1024,2,0.3,0.001,0.01,64,0.3091720219049412,0.32222222222222224,15
512,8,1024,4,0.3,0.0001,0.001,32,0.308074081307164,0.3111111111111111,12
256,4,1024,4,0.3,0.0001,0.01,64,0.30690003911803154,0.36666666666666664,18
512,8,2048,4,0.3,0.0001,0.001,64,0.3065059310437462,0.3333333333333333,17
512,8,2048,4,0.1,0.0001,0.001,64,0.30607193926521653,0.34444444444444444,10
256,8,1024,2,0.3,0.0003,0.001,32,0.3059992560110922,0.34444444444444444,9
256,4,1024,4,0.1,0.0001,0.01,64,0.3057910641030846,0.34444444444444444,8
512,8,1024,2,0.1,0.001,0.01,64,0.3053434447999665,0.3,28
256,4,1024,4,0.3,0.0001,0.01,32,0.30496380164135334,0.35555555555555557,20
